DATA_REF_SYNTAX,FREQUENCY,MODELING_REALM,TABLE_ID,ENS_MEMBER,VERSION_NO,VAR_NAME,HANDLE,SUBPANEL
pmip3.output.UNSW.CSIRO-Mk3L-1-2.1pctCO2,mon,atmos,Amon,r1i1p1,v20170728,tas,,b
pmip3.output.UNSW.CSIRO-Mk3L-1-2.midHolocene,mon,atmos,Amon,r1i1p1,v20170728,tas,,b
pmip3.output.UNSW.CSIRO-Mk3L-1-2.piControl,mon,atmos,Amon,r1i1p1,v20170728,tas,,b
cmip5.output1.CNRM-CERFACS.CNRM-CM5.lgm,mon,ocean,Omon,r1i1p1,v20120730,tos,,a
cmip5.output1.IPSL.IPSL-CM5A-LR.lgm,mon,ocean,Omon,r1i1p1,v20120114,tos,,a
cmip5.output1.LASG-CESS.FGOALS-g2.lgm,mon,ocean,Omon,r1i1p1,v1,tos,,a
cmip5.output1.MIROC.MIROC-ESM.lgm,mon,ocean,Omon,r1i1p1,v20130712,tos,,a
cmip5.output1.MPI-M.MPI-ESM-P.lgm,mon,ocean,Omon,r1i1p1,v20120625,tos,,a
cmip5.output1.MRI.MRI-CGCM3.lgm,mon,ocean,Omon,r1i1p1,v20120609,tos,,a
cmip5.output1.NASA-GISS.GISS-E2-R.lgm,mon,ocean,Omon,r1i1p150,v20120516,tos,,a
cmip5.output1.NCAR.CCSM4.lgm,mon,ocean,Omon,r1i1p1,v20121128,tos,,a
cmip5.output1.CNRM-CERFACS.CNRM-CM5.piControl,mon,ocean,Omon,r1i1p1,v20121001,tos,,a
cmip5.output1.IPSL.IPSL-CM5A-LR.piControl,mon,ocean,Omon,r1i1p1,v20111010,tos,,a
cmip5.output1.LASG-CESS.FGOALS-g2.piControl,mon,ocean,Omon,r1i1p1,v1,thetao,,a
cmip5.output1.MIROC.MIROC-ESM.piControl,mon,ocean,Omon,r1i1p1,v20130712,tos,,a
cmip5.output1.MPI-M.MPI-ESM-P.piControl,mon,ocean,Omon,r1i1p1,v20120625,tos,,a
cmip5.output1.MRI.MRI-CGCM3.piControl,mon,ocean,Omon,r1i1p1,v20120510,tos,,a
cmip5.output1.NASA-GISS.GISS-E2-R.piControl,mon,ocean,Omon,r1i1p1,v20121017,tos,,a
cmip5.output1.NCAR.CCSM4.piControl,mon,ocean,Omon,r1i1p1,v20130513,tos,,a
